,AT,CH,DE,ES,FR,HU,IT,NL,PL,SE,GB
2013 ,9.7 ,8.7 ,7.8 ,55.5 ,24.899999999999999,26.6 ,40.0 ,13.2 ,27.3 ,23.5 ,20.7 
2014 ,10.3 ,8.6 ,7.7 ,53.2 ,24.2 ,20.4 ,42.7 ,12.7 ,23.9 ,22.9 ,17.0 
2015 ,10.6 ,8.8 ,7.2 ,48.3 ,24.7 ,17.3 ,40.3 ,11.3 ,20.8 ,20.4 ,14.6 
2016 ,11.2 ,8.6 ,7.1 ,44.4 ,24.5 ,12.9 ,37.8 ,10.8 ,17.7 ,18.9 ,13.0 
2017 ,9.8 ,8.1 ,6.8 ,38.6 ,22.1 ,10.7 ,34.7 ,8.9 ,14.8 ,17.9 ,12.1 
2018 ,9.4 ,7.9 ,6.2 ,34.3 ,20.8 ,10.2 ,32.2 ,7.2 ,11.7 ,17.399999999999999,11.3 
2019 ,8.5,8,5.7999999999999998,32.5,19.5,11.4,29.199999999999999,6.7000000000000002,9.9000000000000004,20.100000000000001,11.199999999999999
2020 ,10.5 ,8.6 ,7.5,38.3 ,20.2 ,12.8 ,29.4 ,9.1 ,10.8 ,23.9 ,14.300000000000001
