refugiada
Refugiado
asilado
refugiados
asilo
exiliado
refugiadas
huido
emigrado
inmigrante
Refugiada
refugio
emigrante
Refugiados
exilado
migrante
inmigrado
fugitivo
reasentado
refugiar
expatriado
huído
asilados
exilio
refugiarse
refugiadxs
refugiad
deportado
refugia
asilarse
indocumentado
autoexiliado
refugiados-
asilada
Asilado
recluido
guarecido
acogido
refugió
REFUGIADO
Acogido
prisionero
Refugiadas
repatriado
exiliada
