year,country,valuenormal,valueoffensive,valueNegative,valueNeutral,valuePositive,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n
2017,Slovenia,552,98,516,79,55,6.5999999,4.800000190734863,18808,1440,2065895,18720,95718,.15076923,.79384613,.084615387,69.703445,910.40442,114438,5539.3911,4633.2461,705
2018,Slovenia,101,18,96,20,3,5.0999999,4.400000095367432,28455,2800,2066880,19540,102335,.15126051,.8067227,.025210084,135.46989,1376.7128,121875,5896.5688,4951.1826,705
2019,Slovenia,55,8,51,5,7,4.5,3.299999952316284,31319,3615,2080908,20700,117493,.12698413,.80952382,.11111111,173.72224,1505.0641,138193,6640.9951,5646.2373,705
2020,Slovenia,23,7,25,5,,5,-4.199999809265137,,3465,,21523,134828,.23333333,,,,,156351,,,705
2013,Spain,12699,2878,8859,4323,2395,26.1,-1.399999976158142,280772,4290,46727890,,,.18475959,.56872314,.15375233,9.1808128,600.86597,,,,724
2014,Spain,19714,4380,13490,6603,4001,24.5,1.399999976158142,305454,5460,46512199,1991093,2685348,.181788,.55989045,.16605794,11.738856,656.71802,4676441,10054.225,5773.4272,724
2015,Spain,29567,7239,20725,10180,5901,22.1,3.799999952316284,342114,14610,46449565,1948413,2505196,.19667989,.56308752,.16032712,31.45347,736.52789,4453609,9588.0527,5393.3682,724
2016,Spain,34843,8683,25113,12290,6123,19.6,3,414746,15570,46440099,1933831,2482814,.19948997,.57696551,.14067455,33.527061,893.07733,4416645,9510.4121,5346.272,724
2017,Spain,32323,7742,22638,11104,6323,17.200001,3,532132,33040,46528024,1932817,2485761,.19323599,.56503183,.15781854,71.010971,1143.6807,4418578,9496.5947,5342.5029,724
2018,Spain,54165,12870,37557,19077,10401,15.3,2.299999952316284,643684,52745,46658447,1930905,2630781,.19198926,.56025958,.15515776,113.04491,1379.5658,4561686,9776.7637,5638.3809,724
2019,Spain,71949,17094,49384,25628,14031,14.1,2.099999904632568,750480,115190,46937060,1966631,2871969,.19197467,.55460846,.15757555,245.41376,1598.9071,4838600,10308.698,6118.7661,724
2020,Spain,74473,19205,52726,26806,14146,15.5,-10.80000019073486,,86385,,2019487,3205467,.20501079,.56284291,.15100664,,,5224954,,,724
2013,Sweden,770,598,672,401,295,8.1000004,1.200000047683716,115845,49355,9555893,,,.4371345,.49122807,.21564327,516.48755,1212.2886,,,,752
2014,Sweden,1552,1286,1482,779,577,8,2.700000047683716,126966,75090,9644864,289225,384947,.453136,.52219874,.20331219,778.54907,1316.4105,674172,6989.9585,3991.2124,752
2015,Sweden,4105,3689,3849,2215,1730,7.4000001,4.5,134240,156195,9747355,295968,416246,.4733128,.49384141,.22196561,1602.4347,1377.1941,712214,7306.7412,4270.3481,752
2016,Sweden,4065,2861,3569,1918,1439,7,2.099999904632568,163005,22385,9851017,303988,447664,.41308114,.51530463,.20776783,227.23543,1654.7023,751652,7630.1968,4544.3428,752
2017,Sweden,2548,1673,2266,1111,844,6.6999998,2.599999904632568,144489,22225,9995153,310518,505332,.39635158,.5368396,.19995262,222.35777,1445.5907,815850,8162.4565,5055.7705,752
2018,Sweden,2568,1831,2376,1123,900,6.4000001,2,132602,18110,10120242,318263,543921,.41623095,.54012275,.20459196,178.94829,1310.2651,862184,8519.4014,5374.585,752
2019,Sweden,1996,1345,1759,915,667,6.8000002,2,115805,23150,10230185,321964,578398,.40257409,.52648908,.19964083,226.29112,1131.9932,900362,8801.0332,5653.8369,752
2020,Sweden,2211,2193,2095,1136,1173,8.3000002,-2.900000095367432,,13630,,322324,587951,.4979564,.4757039,.26634878,,,910275,,,752
2013,Switzerland,1189,97,739,318,229,4.8000002,1.799999952316284,160157,19440,8039060,,,.075427681,.57465005,.17807154,241.81932,1992.2354,,,,756
2014,Switzerland,1528,191,1000,435,284,4.9000001,2.400000095367432,156282,22130,8139631,1272880,663337,.11111111,.58173358,.16521233,271.87964,1920.0133,1936217,23787.527,8149.4727,756
2015,Switzerland,2644,408,1808,816,428,4.8000002,1.700000047683716,153627,38120,8237666,1322845,674074,.13368283,.59239841,.14023592,462.75244,1864.9336,1996919,24241.32,8182.8276,756
2016,Switzerland,3431,445,2354,992,530,5,2,149305,25875,8327126,1357557,689304,.11480908,.60732716,.13673891,310.73145,1792.9956,2046861,24580.643,8277.8145,756
2017,Switzerland,3009,333,2151,752,439,4.8000002,1.600000023841858,143377,16670,8419550,1382859,716052,.099640936,.64362657,.13135847,197.99158,1702.9058,2098911,24929.016,8504.6348,756
2018,Switzerland,3249,384,2117,1013,503,4.6999998,2.900000095367432,144857,13535,8484130,1397013,727066,.10569777,.58271402,.13845307,159.53316,1707.3878,2124079,25035.908,8569.7178,756
2019,Switzerland,3362,429,2301,989,501,4.4000001,1.200000047683716,145129,12600,8544527,1411744,734172,.11316276,.60696387,.13215511,147.46281,1698.5024,2145916,25114.51,8592.3066,756
2020,Switzerland,2111,477,1479,783,326,4.8000002,-2.400000095367432,,9765,,1430197,742749,.18431221,.57148379,.125966,,,2172946,,,756
2013,United Kingdom,13168,851,6083,4712,3224,7.5,2.200000047683716,526046,29875,63905342,,,.06070333,.43391111,.22997361,46.748829,823.16437,,,,826
2014,United Kingdom,21479,1354,9276,8125,5432,6.0999999,2.900000095367432,631991,32345,64351203,2624313,2425088,.059300136,.40625411,.23790129,50.263241,982.09662,5049401,7846.6304,3768.52,826
2015,United Kingdom,37119,2452,16880,13976,8715,5.3000002,2.400000095367432,631452,39970,64853393,2986526,2432666,.061964571,.42657501,.22023705,61.631317,973.66071,5419192,8356.0654,3751.0234,826
2016,United Kingdom,58096,3516,26216,22005,13391,4.8000002,1.700000047683716,588993,39355,65379044,3204116,2435596,.057066806,.42550153,.21734403,60.195129,900.88959,5639712,8626.1768,3725.3467,826
