Unnamed: 0,year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n,share_normal,share_hate,share_neutral,lt_unemployment,income,youth_unemployment
17,2014,HU,310,4,13,19,206,102,Hungary,7.5,4.199999809265137,54581.0,41215.0,9877365.0,80817.0,59335.0,0.0122324159021406,0.0581039755351682,0.3119266055045872,417.26715,552.58667,140152.0,1418.9209,600.71692,348,0.9480122324159022,0.0397553516819571,0.6299694189602446,3.7,5600.0,20.1
18,2014,IT,2699,31,137,193,1717,957,Italy,12.7,0.0,277631.0,63655.0,60782668.0,1441706.0,3479566.0,0.0108126961981164,0.067317753749564,0.3337983955354028,104.72558,456.76013,4921272.0,8096.5054,5724.6021,380,0.9414021625392396,0.0477851412626438,0.5988838507150331,7.8,16600.0,42.7
19,2014,NL,1548,17,78,166,1064,413,Netherlands,7.4000001,1.399999976158142,145323.0,21810.0,16829289.0,403028.0,330382.0,0.01034692635423,0.101034692635423,0.2513694461351187,129.59549,863.51239,733410.0,4357.938,1963.137,528,0.9421789409616556,0.0474741326841144,0.6475958612294583,2.9,18300.0,12.7
20,2014,PL,335,5,42,50,235,97,Poland,9.0,3.400000095367432,222275.0,5610.0,38017856.0,27710.0,71543.0,0.013089005235602,0.1308900523560209,0.2539267015706806,14.756224,584.65948,99253.0,261.06943,188.18263,616,0.8769633507853403,0.1099476439790576,0.6151832460732984,3.9,6300.0,23.9
21,2014,SE,1148,16,57,214,766,241,Sweden,8.0,2.700000047683716,126966.0,75090.0,9644864.0,289225.0,384947.0,0.0131040131040131,0.1752661752661752,0.1973791973791973,778.54907,1316.4105,674172.0,6989.9585,3991.2124,752,0.9402129402129402,0.0466830466830466,0.6273546273546273,1.5,21800.0,22.9
22,2015,AT,708,7,21,38,464,234,Austria,6.0999999,1.0,166323.0,85520.0,8584926.0,570298.0,566370.0,0.0095108695652173,0.0516304347826086,0.3179347826086957,996.16467,1937.3842,1136668.0,13240.277,6597.2612,40,0.9619565217391304,0.0285326086956521,0.6304347826086957,1.7,21500.0,11.3
23,2015,CH,981,4,19,57,634,313,Switzerland,4.8000002,1.700000047683716,153627.0,38120.0,8237666.0,1322845.0,674074.0,0.0039840637450199,0.0567729083665338,0.3117529880478087,462.75244,1864.9336,1996919.0,24241.32,8182.8276,756,0.9770916334661356,0.0189243027888446,0.6314741035856574,1.8,,8.8
24,2015,DE,3060,33,99,309,2160,723,Germany,4.5999999,1.5,1571047.0,441900.0,81197537.0,3475492.0,4055321.0,0.0103383458646616,0.0968045112781954,0.2265037593984962,544.22833,1934.8456,7530813.0,9274.6816,4994.3892,276,0.9586466165413534,0.0310150375939849,0.6766917293233082,2.1,20500.0,7.2
25,2015,ES,2405,48,94,145,1564,838,Spain,22.1,3.799999952316284,342114.0,14610.0,46449565.0,1948413.0,2505196.0,0.0188457008244994,0.0569297212406753,0.3290145268943855,31.45347,736.52789,4453609.0,9588.0527,5393.3682,724,0.944248135060856,0.0369061641146446,0.6140557518649391,11.4,13800.0,48.3
26,2015,FR,3000,23,98,206,1876,1039,France,10.3,1.100000023841858,364221.0,70570.0,66458153.0,1499227.0,2932149.0,0.0073694328740788,0.0660044857417494,0.3329061198333867,106.18712,548.04565,4431376.0,6667.9194,4412.0229,250,0.9612303748798462,0.0314001922460749,0.6010893944248639,4.6,18800.0,26.1
27,2015,GB,20412,484,2752,4933,14653,4062,United Kingdom,5.3000002,2.400000095367432,631452.0,39970.0,64853393.0,2986526.0,2432666.0,0.020466847090663,0.208601150202977,0.1717692828146143,61.631317,973.66071,5419192.0,8356.0654,3751.0234,826,0.8631596752368065,0.1163734776725304,0.6196295669824087,1.7,28821.0,14.9
28,2015,HU,471,7,24,25,341,136,Hungary,6.5999999,3.700000047683716,58344.0,174435.0,9855571.0,80758.0,64821.0,0.0139442231075697,0.049800796812749,0.2709163346613545,1769.9127,591.99005,145579.0,1477.1239,657.70923,348,0.9382470119521912,0.047808764940239,0.6792828685258964,3.1,5800.0,17.1
29,2015,IT,3014,24,99,114,1950,1073,Italy,11.9,0.800000011920929,280078.0,82790.0,60795612.0,1491865.0,3521825.0,0.007650621613006,0.0363404526617787,0.3420465412814791,136.1776,460.68787,5013690.0,8246.7959,5792.8936,380,0.960790564233344,0.0315588141536499,0.6216130060567421,7.0,16900.0,40.3
30,2015,NL,1404,14,46,97,932,435,Netherlands,6.9000001,2.0,166872.0,43035.0,16900726.0,430934.0,338773.0,0.0095628415300546,0.0662568306010929,0.2971311475409836,254.63403,987.36584,769707.0,4554.2837,2004.4879,528,0.9590163934426228,0.0314207650273224,0.6366120218579235,2.9,18600.0,11.3
31,2015,PL,730,8,33,116,522,133,Poland,7.5,4.199999809265137,218147.0,10255.0,38005614.0,29962.0,76595.0,0.0103761348897535,0.1504539559014267,0.172503242542153,26.982855,573.98627,106557.0,280.37173,201.53601,616,0.9468223086900128,0.0428015564202334,0.6770428015564203,3.0,6500.0,20.8
32,2015,SE,706,4,23,67,447,219,Sweden,7.4000001,4.5,134240.0,156195.0,9747355.0,295968.0,416246.0,0.0054570259208731,0.0914051841746248,0.2987721691678035,1602.4347,1377.1941,712214.0,7306.7412,4270.3481,752,0.9631650750341064,0.0313778990450204,0.6098226466575716,1.5,21800.0,20.4
33,2016,AT,542,5,7,6,356,192,Austria,6.5,2.0,129509.0,39905.0,8700471.0,616401.0,639645.0,0.0090252707581227,0.0108303249097472,0.3465703971119133,458.65332,1488.5286,1256046.0,14436.528,7351.8433,40,0.9783393501805054,0.0126353790613718,0.6425992779783394,2.0,22200.0,12.0
34,2016,CH,703,3,11,18,463,236,Switzerland,5.0,2.0,149305.0,25875.0,8327126.0,1357557.0,689304.0,0.00418410041841,0.0251046025104602,0.3291492329149233,310.73145,1792.9956,2046861.0,24580.643,8277.8145,756,0.9804741980474198,0.0153417015341701,0.6457461645746164,1.8,,8.6
35,2016,DE,2564,48,59,173,1844,654,Germany,4.0999999,2.200000047683716,1029852.0,722365.0,82175684.0,3801044.0,4840650.0,0.017970797454137,0.0647697491576188,0.244852115312617,879.04956,1253.2321,8641694.0,10516.12,5890.6113,276,0.9599400973418196,0.0220891052040434,0.6903781355297641,1.7,21100.0,7.1
36,2016,ES,2245,11,59,58,1468,789,Spain,19.6,3.0,414746.0,15570.0,46440099.0,1933831.0,2482814.0,0.0047516198704103,0.0250539956803455,0.3408207343412527,33.527061,893.07733,4416645.0,9510.4121,5346.272,724,0.9697624190064796,0.0254859611231101,0.6341252699784017,9.5,14200.0,44.4
37,2016,FR,2714,19,58,87,1699,1005,France,10.1,1.100000023841858,377709.0,76790.0,66638391.0,1523719.0,3021074.0,0.0068075958437835,0.0311716230741669,0.3600859906843425,115.23387,566.80389,4544793.0,6820.082,4533.5337,250,0.9724113221067716,0.0207810820494446,0.6087423862414905,4.6,19100.0,26.0
38,2016,GB,7822,178,764,1219,5850,1695,United Kingdom,4.8000002,1.700000047683716,588993.0,39355.0,65379044.0,3204116.0,2435596.0,0.0203103605659516,0.1390917389319945,0.193404837973528,60.195129,900.88959,5639712.0,8626.1768,3725.3467,826,0.8925148334094021,0.0871748060246462,0.6675034230944774,1.3,29704.0,13.3
39,2016,HU,397,7,29,3,280,150,Hungary,5.0,2.200000047683716,53618.0,28215.0,9830485.0,85143.0,71062.0,0.0161662817551963,0.0069284064665127,0.3464203233256351,287.01535,545.42578,156205.0,1588.9857,722.87378,348,0.9168591224018476,0.0669745958429561,0.6466512702078522,2.4,6100.0,12.7
40,2016,IT,2700,14,86,29,1721,1050,Italy,11.7,1.299999952316284,300823.0,121185.0,60665551.0,1517023.0,3508429.0,0.005,0.0103571428571428,0.375,199.75917,495.87122,5025452.0,8283.8643,5783.231,380,0.9642857142857144,0.0307142857142857,0.6146428571428572,6.8,17100.0,37.8
41,2016,NL,1558,12,58,49,1065,514,Netherlands,6.0,2.200000047683716,189232.0,19285.0,16979120.0,458705.0,367744.0,0.0073710073710073,0.03009828009828,0.3157248157248157,113.58068,1114.4983,826449.0,4867.4429,2165.8601,528,0.957002457002457,0.0356265356265356,0.6541769041769042,2.5,19000.0,10.8
42,2016,PL,683,15,23,103,510,108,Poland,6.1999998,3.099999904632568,208302.0,9785.0,37967209.0,25091.0,123926.0,0.0208044382801664,0.1428571428571428,0.1497919556171983,25.77224,548.6366,149017.0,392.48868,326.40271,616,0.9472954230235784,0.0319001386962552,0.7073509015256588,2.2,6500.0,17.7
43,2016,SE,328,2,15,12,213,120,Sweden,7.0,2.099999904632568,163005.0,22385.0,9851017.0,303988.0,447664.0,0.0057971014492753,0.0347826086956521,0.3478260869565217,227.23543,1654.7023,751652.0,7630.1968,4544.3428,752,0.9507246376811594,0.0434782608695652,0.6173913043478261,1.3,22200.0,18.9
44,2017,AT,507,2,4,4,336,173,Austria,5.9000001,2.299999952316284,111801.0,22470.0,8772865.0,655524.0,673207.0,0.0038986354775828,0.0077972709551656,0.3372319688109161,256.13071,1274.3955,1328731.0,15145.919,7673.7417,40,0.9883040935672516,0.0077972709551656,0.6549707602339181,1.9,22700.0,10.5
45,2017,CH,705,4,17,18,474,234,Switzerland,4.8000002,1.600000023841858,143377.0,16670.0,8419550.0,1382859.0,716052.0,0.0055096418732782,0.024793388429752,0.3223140495867768,197.99158,1702.9058,2098911.0,24929.016,8504.6348,756,0.9710743801652892,0.0234159779614325,0.6528925619834711,1.7,,8.1
46,2017,DE,1727,28,57,79,1206,527,Germany,3.8,2.700000047683716,917109.0,198310.0,82521653.0,3985165.0,5223701.0,0.0154525386313465,0.0435982339955849,0.2908388520971302,240.31268,1111.3556,9208866.0,11159.333,6330.0972,276,0.9530905077262694,0.0314569536423841,0.6655629139072847,1.6,21700.0,6.8
47,2017,ES,1757,8,35,37,1116,647,Spain,17.200001,3.0,532132.0,33040.0,46528024.0,1932817.0,2485761.0,0.0044444444444444,0.0205555555555555,0.3594444444444444,71.010971,1143.6807,4418578.0,9496.5947,5342.5029,724,0.9761111111111112,0.0194444444444444,0.62,7.7,14600.0,38.6
48,2017,FR,1943,9,39,30,1219,742,France,9.3999996,2.299999952316284,369621.0,91965.0,66809816.0,1556630.0,3049039.0,0.0045203415369161,0.0150678051230537,0.3726770467101958,137.65193,553.24353,4605669.0,6893.7012,4563.7588,250,0.975891511803114,0.0195881466599698,0.6122551481667504,4.3,19500.0,23.5
49,2017,GB,5092,106,355,580,3766,1207,United Kingdom,4.3000002,1.700000047683716,644209.0,34435.0,65844142.0,3627914.0,2445610.0,0.019088780839186,0.1044480461012065,0.2173599855933729,52.297741,978.3847,6073524.0,9224.0918,3714.2407,826,0.9169818116333514,0.0639294075274626,0.6781919683054205,1.1,31085.0,12.3
