year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n
2015,FR,3000,23,98,206,1876,1039,France,10.3,1.100000023841858,364221.0,70570.0,66458153.0,1499227.0,2932149.0,0.077071294,0.64943266,0.19321345,106.18712,548.04565,4431376.0,6667.9194,4412.0229,250
2015,GB,20412,484,2752,4933,14653,4062,United Kingdom,5.3000002,2.400000095367432,631452.0,39970.0,64853393.0,2986526.0,2432666.0,0.061964571,0.42657501,0.22023705,61.631317,973.66071,5419192.0,8356.0654,3751.0234,826
2015,HU,471,7,24,25,341,136,Hungary,6.5999999,3.700000047683716,58344.0,174435.0,9855571.0,80758.0,64821.0,0.10871241,0.4845798,0.19352351,1769.9127,591.99005,145579.0,1477.1239,657.70923,348
2015,IT,3014,24,99,114,1950,1073,Italy,11.9,0.800000011920929,280078.0,82790.0,60795612.0,1491865.0,3521825.0,0.36213416,0.66782117,0.14364275,136.1776,460.68787,5013690.0,8246.7959,5792.8936,380
2015,NL,1404,14,46,97,932,435,Netherlands,6.9000001,2.0,166872.0,43035.0,16900726.0,430934.0,338773.0,0.20544337,0.36184624,0.23328735,254.63403,987.36584,769707.0,4554.2837,2004.4879,528
2015,PL,730,8,33,116,522,133,Poland,7.5,4.199999809265137,218147.0,10255.0,38005614.0,29962.0,76595.0,0.60912907,0.29630116,0.064533055,26.982855,573.98627,106557.0,280.37173,201.53601,616
2015,SE,706,4,23,67,447,219,Sweden,7.4000001,4.5,134240.0,156195.0,9747355.0,295968.0,416246.0,0.4733128,0.49384141,0.22196561,1602.4347,1377.1941,712214.0,7306.7412,4270.3481,752
2016,AT,542,5,7,6,356,192,Austria,6.5,2.0,129509.0,39905.0,8700471.0,616401.0,639645.0,0.19626498,0.51867515,0.11099366,458.65332,1488.5286,1256046.0,14436.528,7351.8433,40
2016,CH,703,3,11,18,463,236,Switzerland,5.0,2.0,149305.0,25875.0,8327126.0,1357557.0,689304.0,0.11480908,0.60732716,0.13673891,310.73145,1792.9956,2046861.0,24580.643,8277.8145,756
2016,DE,2564,48,59,173,1844,654,Germany,4.0999999,2.200000047683716,1029852.0,722365.0,82175684.0,3801044.0,4840650.0,0.24189569,0.5073173,0.091083124,879.04956,1253.2321,8641694.0,10516.12,5890.6113,276
2016,ES,2245,11,59,58,1468,789,Spain,19.6,3.0,414746.0,15570.0,46440099.0,1933831.0,2482814.0,0.19948997,0.57696551,0.14067455,33.527061,893.07733,4416645.0,9510.4121,5346.272,724
2016,FR,2714,19,58,87,1699,1005,France,10.1,1.100000023841858,377709.0,76790.0,66638391.0,1523719.0,3021074.0,0.082528733,0.65762454,0.19984674,115.23387,566.80389,4544793.0,6820.082,4533.5337,250
2016,GB,7822,178,764,1219,5850,1695,United Kingdom,4.8000002,1.700000047683716,588993.0,39355.0,65379044.0,3204116.0,2435596.0,0.057066806,0.42550153,0.21734403,60.195129,900.88959,5639712.0,8626.1768,3725.3467,826
2016,HU,397,7,29,3,280,150,Hungary,5.0,2.200000047683716,53618.0,28215.0,9830485.0,85143.0,71062.0,0.1147541,0.51509923,0.18205349,287.01535,545.42578,156205.0,1588.9857,722.87378,348
2016,IT,2700,14,86,29,1721,1050,Italy,11.7,1.299999952316284,300823.0,121185.0,60665551.0,1517023.0,3508429.0,0.32027885,0.67467695,0.13250963,199.75917,495.87122,5025452.0,8283.8643,5783.231,380
2016,NL,1558,12,58,49,1065,514,Netherlands,6.0,2.200000047683716,189232.0,19285.0,16979120.0,458705.0,367744.0,0.20317109,0.36455262,0.21189775,113.58068,1114.4983,826449.0,4867.4429,2165.8601,528
2016,PL,683,15,23,103,510,108,Poland,6.1999998,3.099999904632568,208302.0,9785.0,37967209.0,25091.0,123926.0,0.59823436,0.31694651,0.064047083,25.77224,548.6366,149017.0,392.48868,326.40271,616
2016,SE,328,2,15,12,213,120,Sweden,7.0,2.099999904632568,163005.0,22385.0,9851017.0,303988.0,447664.0,0.41308114,0.51530463,0.20776783,227.23543,1654.7023,751652.0,7630.1968,4544.3428,752
2017,AT,507,2,4,4,336,173,Austria,5.9000001,2.299999952316284,111801.0,22470.0,8772865.0,655524.0,673207.0,0.15203427,0.54496789,0.11670236,256.13071,1274.3955,1328731.0,15145.919,7673.7417,40
2017,CH,705,4,17,18,474,234,Switzerland,4.8000002,1.600000023841858,143377.0,16670.0,8419550.0,1382859.0,716052.0,0.099640936,0.64362657,0.13135847,197.99158,1702.9058,2098911.0,24929.016,8504.6348,756
2017,DE,1727,28,57,79,1206,527,Germany,3.8,2.700000047683716,917109.0,198310.0,82521653.0,3985165.0,5223701.0,0.25583181,0.55112445,0.087163009,240.31268,1111.3556,9208866.0,11159.333,6330.0972,276
2017,ES,1757,8,35,37,1116,647,Spain,17.200001,3.0,532132.0,33040.0,46528024.0,1932817.0,2485761.0,0.19323599,0.56503183,0.15781854,71.010971,1143.6807,4418578.0,9496.5947,5342.5029,724
2017,FR,1943,9,39,30,1219,742,France,9.3999996,2.299999952316284,369621.0,91965.0,66809816.0,1556630.0,3049039.0,0.080648914,0.65784365,0.1912598,137.65193,553.24353,4605669.0,6893.7012,4563.7588,250
2017,GB,5092,106,355,580,3766,1207,United Kingdom,4.3000002,1.700000047683716,644209.0,34435.0,65844142.0,3627914.0,2445610.0,0.072114073,0.48025921,0.20338218,52.297741,978.3847,6073524.0,9224.0918,3714.2407,826
2017,HU,323,1,21,2,201,142,Hungary,4.0,4.300000190734863,68070.0,3120.0,9797561.0,79325.0,71414.0,0.18172157,0.5387885,0.1360255,31.84466,694.76477,150739.0,1538.536,728.89569,348
2017,IT,2371,14,78,46,1623,794,Italy,11.2,1.700000047683716,343440.0,126560.0,60589445.0,1537224.0,3509089.0,0.33518243,0.69792044,0.12234893,208.88127,566.83142,5046313.0,8328.7002,5791.5845,380
2017,NL,1197,5,21,17,831,375,Netherlands,4.9000001,2.900000095367432,189646.0,16090.0,17081507.0,489119.0,413401.0,0.18372403,0.37678674,0.22279398,94.195435,1110.2416,902520.0,5283.6089,2420.167,528
2017,PL,630,12,20,85,464,113,Poland,4.9000001,4.800000190734863,209353.0,3005.0,37972964.0,29447.0,180334.0,0.64204061,0.30626172,0.059716772,7.9135251,551.32123,209781.0,552.4483,474.90103,616
2017,SE,314,3,7,9,212,103,Sweden,6.6999998,2.599999904632568,144489.0,22225.0,9995153.0,310518.0,505332.0,0.39635158,0.5368396,0.19995262,222.35777,1445.5907,815850.0,8162.4565,5055.7705,752
2018,AT,492,4,4,3,305,192,Austria,5.1999998,2.5,105633.0,11610.0,8822267.0,693855.0,687452.0,0.23603603,0.55225223,0.10720721,131.59883,1197.3453,1381307.0,15657.053,7792.2373,40
