year,country_code,income
2016,DK,21800
2016,DE,21100
2016,EE,8200
2016,IE,19000
2016,EL,9700
2016,ES,14200
2016,FR,19100
2016,HR,6400
2016,IT,17100
2016,CY,13500
2016,LV,7200
2016,LT,8300
2016,LU,30600
2016,HU,6100
2016,NL,19000
2016,AT,22200
2016,PL,6500
2016,PT,11400
2016,RO,5000
2016,SI,10800
2016,SK,8300
2016,FI,20400
2016,SE,22200
2016,NO,28000
2017,BE,20600
2017,BG,4300
2017,CZ,9100
2017,DK,22400
2017,DE,21700
2017,EE,9100
2017,IE,20100
2017,EL,9900
2017,ES,14600
2017,FR,19500
2017,HR,6800
2017,IT,17500
2017,CY,14200
2017,LV,7700
2017,LT,8800
2017,LU,32000
2017,HU,6700
2017,NL,19400
2017,AT,22700
2017,PL,7100
2017,PT,11700
2017,RO,5700
2017,SI,11300
2017,SK,8700
2017,FI,20800
2017,SE,22400
2017,NO,28800
2018,BE,21200
2018,BG,4700
2018,CZ,9900
2018,DK,23000
2018,DE,22400
2018,EE,9900
2018,IE,20800
2018,EL,10000
2018,ES,15000
2018,FR,20000
2018,HR,7300
2018,IT,17800
2018,CY,14900
2018,LV,8300
2018,LT,9500
2018,LU,33000
2018,HU,7100
2018,NL,20200
2018,AT,23400
2018,PL,7400
2018,PT,12200
2018,RO,6200
2018,SI,12000
2018,SK,9500
2018,FI,21400
2018,SE,21700
2018,NO,28700
2019,DK,23500
2019,EE,10900
2019,CY,15400
2019,LU,34700
2019,SI,12600
