year,country_code,lt_unemployment
2012,ME,15.9
2012,MK,25.6
2012,RS,18.5
2012,TR,1.8
2013,BE,3.9
2013,BG,7.5
2013,CZ,3.1
2013,DK,1.9
2013,DE,2.4
2013,EE,3.9
2013,IE,8.1
2013,EL,18.6
2013,ES,13.0
2013,FR,4.4
2013,HR,11.1
2013,IT,7.0
2013,CY,6.1
2013,LV,5.9
2013,LT,5.1
2013,LU,1.8
2013,HU,5.0
2013,MT,3.5
2013,NL,2.5
2013,AT,1.3
2013,PL,4.4
2013,PT,9.6
2013,RO,3.3
2013,SI,5.2
2013,SK,10.0
2013,FI,1.7
2013,SE,1.5
2013,IS,1.0
2013,NO,0.7
2013,CH,1.5
2013,GB,2.8
2013,ME,16.1
2013,MK,24.0
2013,RS,16.8
2013,TR,1.9
2014,BE,4.3
2014,BG,6.9
2014,CZ,2.7
2014,DK,1.7
2014,DE,2.2
2014,EE,3.4
2014,IE,6.7
2014,EL,19.6
2014,ES,13.0
2014,FR,4.6
2014,HR,10.2
2014,IT,7.8
2014,CY,7.8
2014,LV,4.8
2014,LT,4.9
2014,LU,1.6
2014,HU,3.7
2014,MT,3.0
2014,NL,2.9
2014,AT,1.6
2014,PL,3.9
2014,PT,8.6
2014,RO,2.9
2014,SI,5.4
2014,SK,9.3
2014,FI,2.0
2014,SE,1.5
2014,IS,0.6
2014,NO,0.8
2014,CH,1.8
2014,GB,2.2
2014,ME,14.1
2014,MK,23.4
2014,RS,12.7
2014,TR,2.1
2015,BE,4.4
2015,BG,5.6
2015,CZ,2.4
2015,DK,1.7
2015,DE,2.1
2015,EE,2.4
2015,IE,5.4
2015,EL,18.3
2015,ES,11.4
2015,FR,4.6
2015,HR,10.3
2015,IT,7.0
2015,CY,6.9
2015,LV,4.6
2015,LT,4.0
2015,LU,1.9
2015,HU,3.1
2015,MT,2.7
2015,NL,2.9
2015,AT,1.7
2015,PL,3.0
2015,PT,7.4
2015,RO,3.1
2015,SI,4.8
2015,SK,7.6
2015,FI,2.3
2015,SE,1.5
2015,IS,0.5
2015,NO,1.0
2015,CH,1.8
2015,GB,1.7
2015,ME,13.7
2015,MK,21.5
2015,RS,10.9
2015,TR,2.2
2016,BE,4.1
2016,BG,4.5
2016,CZ,1.7
2016,DK,1.3
2016,DE,1.7
2016,EE,2.2
2016,IE,4.3
2016,EL,17.0
2016,ES,9.5
2016,FR,4.6
2016,HR,6.7
